-1.6119495e-01 313 -1.0000000e+00 #Y^,t,Y
-7.5807563e-02 314 -1.0000000e+00 #Y^,t,Y
-6.2485291e-01 315 -1.0000000e+00 #Y^,t,Y
-6.3811789e-01 316 -1.0000000e+00 #Y^,t,Y
-4.5684149e-01 317 -1.0000000e+00 #Y^,t,Y
-8.8166083e-01 318 -1.0000000e+00 #Y^,t,Y
-2.5948686e-01 319 -1.0000000e+00 #Y^,t,Y
-4.4725865e-01 320 -1.0000000e+00 #Y^,t,Y
-9.4761606e-01 321 -1.0000000e+00 #Y^,t,Y
-8.8055738e-01 322 -1.0000000e+00 #Y^,t,Y
-9.0590758e-01 323 -1.0000000e+00 #Y^,t,Y
-8.6969566e-01 324 -1.0000000e+00 #Y^,t,Y
-8.7466012e-01 325 -1.0000000e+00 #Y^,t,Y
-8.4925039e-01 326 -1.0000000e+00 #Y^,t,Y
-2.5739788e-01 327 -1.0000000e+00 #Y^,t,Y
4.1587419e-01 328 -1.0000000e+00 #Y^,t,Y
-7.8529212e-01 329 -1.0000000e+00 #Y^,t,Y
-9.5586459e-01 330 -1.0000000e+00 #Y^,t,Y
-8.6258275e-01 331 -1.0000000e+00 #Y^,t,Y
-7.2216112e-01 332 -1.0000000e+00 #Y^,t,Y
-8.2021495e-01 333 -1.0000000e+00 #Y^,t,Y
1.8738366e-01 334 -1.0000000e+00 #Y^,t,Y
-8.2711931e-01 335 -1.0000000e+00 #Y^,t,Y
-7.7191199e-01 336 -1.0000000e+00 #Y^,t,Y
-4.6145499e-01 337 -1.0000000e+00 #Y^,t,Y
-8.5316786e-01 338 -1.0000000e+00 #Y^,t,Y
-9.5546135e-01 339 -1.0000000e+00 #Y^,t,Y
-7.2629851e-01 340 -1.0000000e+00 #Y^,t,Y
1.9006986e-01 341 -1.0000000e+00 #Y^,t,Y
-5.4487823e-01 342 -1.0000000e+00 #Y^,t,Y
-8.4275673e-01 343 -1.0000000e+00 #Y^,t,Y
-2.8825823e-01 344 -1.0000000e+00 #Y^,t,Y
-7.8455780e-01 345 -1.0000000e+00 #Y^,t,Y
-2.1501088e-01 346 -1.0000000e+00 #Y^,t,Y
-8.2446306e-01 347 -1.0000000e+00 #Y^,t,Y
-8.0189828e-02 348 -1.0000000e+00 #Y^,t,Y
-1.3980018e-01 349 -1.0000000e+00 #Y^,t,Y
-3.9715685e-01 350 -1.0000000e+00 #Y^,t,Y
-9.6729124e-01 351 -1.0000000e+00 #Y^,t,Y
-6.8017672e-01 352 -1.0000000e+00 #Y^,t,Y
-6.5129029e-01 353 -1.0000000e+00 #Y^,t,Y
-5.7739286e-02 354 -1.0000000e+00 #Y^,t,Y
-9.3354839e-02 355 -1.0000000e+00 #Y^,t,Y
-8.9554892e-01 356 -1.0000000e+00 #Y^,t,Y
-8.9526524e-01 357 -1.0000000e+00 #Y^,t,Y
-8.4623265e-01 358 -1.0000000e+00 #Y^,t,Y
-9.7384174e-01 359 -1.0000000e+00 #Y^,t,Y
-6.2524536e-01 360 -1.0000000e+00 #Y^,t,Y
-9.0624443e-01 361 -1.0000000e+00 #Y^,t,Y
-9.7123577e-01 362 -1.0000000e+00 #Y^,t,Y
-9.6894537e-01 363 -1.0000000e+00 #Y^,t,Y
-8.1103069e-01 364 -1.0000000e+00 #Y^,t,Y
-5.9719701e-01 365 -1.0000000e+00 #Y^,t,Y
-7.5831572e-01 366 -1.0000000e+00 #Y^,t,Y
5.1220091e-01 367 -1.0000000e+00 #Y^,t,Y
-3.2900113e-01 368 -1.0000000e+00 #Y^,t,Y
-8.6436173e-01 369 -1.0000000e+00 #Y^,t,Y
-7.1095835e-01 370 -1.0000000e+00 #Y^,t,Y
-4.9226881e-01 371 -1.0000000e+00 #Y^,t,Y
-7.3310007e-01 372 -1.0000000e+00 #Y^,t,Y
-9.0859402e-01 373 -1.0000000e+00 #Y^,t,Y
-9.8495673e-01 374 -1.0000000e+00 #Y^,t,Y
-7.5181793e-01 375 -1.0000000e+00 #Y^,t,Y
-1.8953377e-01 376 -1.0000000e+00 #Y^,t,Y
-5.7796772e-01 377 -1.0000000e+00 #Y^,t,Y
-9.3022033e-01 378 -1.0000000e+00 #Y^,t,Y
-9.6748990e-01 379 -1.0000000e+00 #Y^,t,Y
-5.9167091e-01 380 -1.0000000e+00 #Y^,t,Y
-9.0395462e-01 381 -1.0000000e+00 #Y^,t,Y
-9.7653708e-01 382 -1.0000000e+00 #Y^,t,Y
-4.2660260e-01 383 -1.0000000e+00 #Y^,t,Y
-9.7406566e-01 384 -1.0000000e+00 #Y^,t,Y
-9.9282070e-01 385 -1.0000000e+00 #Y^,t,Y
-9.4288390e-01 386 -1.0000000e+00 #Y^,t,Y
-8.0385009e-01 387 -1.0000000e+00 #Y^,t,Y
-6.8575095e-01 388 -1.0000000e+00 #Y^,t,Y
-8.2442754e-01 389 -1.0000000e+00 #Y^,t,Y
-9.8668804e-01 390 -1.0000000e+00 #Y^,t,Y
3.1627668e-02 391 -1.0000000e+00 #Y^,t,Y
-3.2996474e-01 392 -1.0000000e+00 #Y^,t,Y
-7.7913074e-01 393 -1.0000000e+00 #Y^,t,Y
-8.0175033e-01 394 -1.0000000e+00 #Y^,t,Y
-8.1746316e-01 395 -1.0000000e+00 #Y^,t,Y
-9.9542833e-01 396 -1.0000000e+00 #Y^,t,Y
-7.7141464e-01 397 -1.0000000e+00 #Y^,t,Y
-8.4480251e-01 398 -1.0000000e+00 #Y^,t,Y
-9.8057435e-01 399 -1.0000000e+00 #Y^,t,Y
-9.6903366e-01 400 -1.0000000e+00 #Y^,t,Y
-9.8375965e-01 401 -1.0000000e+00 #Y^,t,Y
-6.7770946e-01 402 -1.0000000e+00 #Y^,t,Y
-8.5467492e-01 403 -1.0000000e+00 #Y^,t,Y
