#dt=1.000000e-08 Ndt=2500000 T=0.025 t1=35.2766 n=3527663520LU=2.50025e+10LF
#-8 8 27 0 0 #x,y,z t j
0.1047195329878853117570182893957758500086861131706192455191395325494003993666128e2 0.1622048779068232192063028982850664129659694051844974902161610206213764784270084e2 0.208767120683648108376294967444566187469203890383380902127376627358128556671447e2 0.1024999999999999999999999999999999999999999999999999999999999999999999993600613e1 41
0.1188693814402000521433425963199636967499578304975735704005434284372609093669461e2 0.1734800543962173736464001373807647717880723348499627174627910735012271083291501e2 0.2409538548244240198352797429478753206115632348453079320326275662509005250983231e2 0.1049999999999999999999999999999999999999999999999999999999999999999999987201226e1 42
0.1313803020416311001123240224164809552765545304462142132844063925091699012913551e2 0.1754247196783462931990955724054141363844032505885633888441578714361583833625984e2 0.2786199608877966929770790470016679619275295182786933945586231329958079538969798e2 0.1074999999999999999999999999999999999999999999999999999999999999999999980801839e1 43
0.140158154345980240109553014631312616143856188662137070828868779871237232065412e2 0.1649344849893368066528480192688699469933223251952713134915420648708073470667301e2 0.3170418170699690982870601464811359216743747998719476129036448529089598805780494e2 0.1099999999999999999999999999999999999999999999999999999999999999999999974402452e1 44
0.1431859565660649307399842987433934800850896886611952861511548016116452517327155e2 0.1418191096157191358978663573778593709736888543832354070517641819003729366697372e2 0.3496251702738668944678065327438878526224062780304295005030048873847319240421311e2 0.1124999999999999999999999999999999999999999999999999999999999999999999968003065e1 45
0.139312063548799445836944432968158124945972914769887444365009206548117168628322e2 0.1098981194209889581579194262081701499966283331973314486404812388459644502791888e2 0.3703725730743408043735252974998822540156176247321035244686969340279065117844237e2 0.1149999999999999999999999999999999999999999999999999999999999999999999961603678e1 46
0.1288462132910726499279673010547435765370994101717911834533084985520872232878005e2 0.7572896740249058144945667108740700182433569039730358912913337204719993651661423e1 0.3766581004823296745421685169225887606981990602610839605651172849407134145198439e2 0.117499999999999999999999999999999999999999999999999999999999999999999995520429e1 47
0.1135044276578712725309040292279090205251188254110629292481735283627465160867398e2 0.4557067643672009299521515060796649405537541408291388809323967034360337540206561e1 0.3700611227268854030700427198307047226831092262960955119612787156378793562282016e2 0.1199999999999999999999999999999999999999999999999999999999999999999999948804903e1 48
0.9572063408709439484003229363259871604765972648622081183694902157247899949697883e1 0.2296365112753697646347774059484051884483649873744124781820063533215009592343599e1 0.3547393360928005610148568155367580744622341075344018661473573326668729094041419e2 0.1224999999999999999999999999999999999999999999999999999999999999999999942405516e1 49
0.7781033416958869238027259080223369690222531526246095348568184297225304410705273e1 0.8403035663758565920766621515303579869314263614646681911358242772921593952465529e0 0.3350493290512171703190484782402978640344494302593995588356002639446367123193516e2 0.1249999999999999999999999999999999999999999999999999999999999999999999936006129e1 50
0.6144158330988603151800533533051557089915539006393708172289484772043959190344284e1 0.4886898399358482933540148979776302063196697231451797859227783989504759548287813e-1 0.3141262239489569897494116633119263817928389183142942072612714298016571890053708e2 0.1274999999999999999999999999999999999999999999999999999999999999999999929606742e1 51
0.4751608252889488951398421493088957568463896853533947662071258255390556278165037e1 -0.276604892983885770597134073939652087527928171933247401462898939152795084370833e0 0.2936844949985262971872739937092399033723167025944823115484013437740990242115211e2 0.1299999999999999999999999999999999999999999999999999999999999999999999923207355e1 52
0.3631102324403177285280950094163426808419896530849626025853575086381666697533688e1 -0.3143916113620509217507158159934413407203769195603522631775328110101521831148116e0 0.2744291455802139855257447882976354456167126315797377989803967945852637019281227e2 0.1324999999999999999999999999999999999999999999999999999999999999999999916807968e1 53
0.2770167613070539938090280384623620014765076230275355240420528042627326086396054e1 -0.1946625070762560181612286946135829827640018699051444464218085869403398552229134e0 0.2565264077505001113826455738779532355488850209892900228353714857446068708730105e2 0.1349999999999999999999999999999999999999999999999999999999999999999999910408581e1 54
0.2135907882395179962743355607237809211796190621082952613741147395312808401447449e1 -0.1931361801229072893364625943189769329780627194336709823212629801466398271170786e-3 0.2399208262580822879576917105405731850223031134243831206956920676287672640349765e2 0.1374999999999999999999999999999999999999999999999999999999999999999999904009194e1 55
0.1688838859516170388956381950328773006856562187786808162094226759310926812002981e1 0.2228815633679711913549032727268940188924854245493412285297691221130375199246878e0 0.2244966740684982000876613636585054709690019836371719023738429219578528867073587e2 0.1399999999999999999999999999999999999999999999999999999999999999999999897609807e1 56
0.1391085256707905777643539082097872207479176713542231936701118232563080711607092e1 0.4534596222787889075886052569880425935864815143831496230809480638691661935399495e0 0.2101421319430272668835887570268718917055496583117832312500919886109696520027596e2 0.142499999999999999999999999999999999999999999999999999999999999999999989121042e1 57
0.1210445192857450487425418256817406938770290572340019965952989239986022779596965e1 0.6862435595054644780743308500070589190292258366118783113778710815090377549224779e0 0.1967668594693413622438035328140763296733365385409686905856649909291514162502871e2 0.1449999999999999999999999999999999999999999999999999999999999999999999884811033e1 58
0.1121850473854666087324198260796713991767834225754311451059207201207221781918591e1 0.9254031143811766852772107069878934487001491556429541970542553524666060741924381e0 0.1843023180104404496320526865527461279540470669985525741255076763453996751597834e2 0.1474999999999999999999999999999999999999999999999999999999999999999999878411645e1 59
0.1107396239027928332163485678026703293641062788785007313402209738807851112133966e1 0.1180693722626122714964704384976806577017180505467971669377170617882431041366265e1 0.1726983383370451404520863587872315629272125233334133754353379363521401570454451e2 0.1499999999999999999999999999999999999999999999999999999999999999999999872012258e1 60
0.1155727041684009141421190668773165755604234151212979785069022668723563743203804e1 0.1465399258704528988242322903853715942840562711431526048791528023863426342162851e1 0.1619209593523545062940811125724010948469617186411396609543566312666767508798112e2 0.1524999999999999999999999999999999999999999999999999999999999999999999865612871e1 61
0.1261258150927660426433642619441399773523516092832462026888875839128930483989739e1 0.1795536269488476292469756035497306819207135761966029830941812543103751645084448e1 0.1519530378601348369092909887653738697986429736643069044305765320060689850298179e2 0.1549999999999999999999999999999999999999999999999999999999999999999999859213484e1 62
0.1423495658462223273787148979932368533044029907031725957547680499034015939907002e1 0.2189890833451360585949913869457263298072929997249789956484920795251535581358392e1 0.1427981608945103156875624900865624869297697477527129653494865754568649095848476e2 0.1574999999999999999999999999999999999999999999999999999999999999999999852814097e1 63
0.164658032348039992900701678906561889696939542777328740385001675329761507917955e1 0.2670579588763300477906940588599034023432328924477173335829449198120442871985831e1 0.1344885789159852834062070147360725837305321935498017301110631743140558571096371e2 0.159999999999999999999999999999999999999999999999999999999999999999999984641471e1 64
0.1939093609853151381968028350372954334896670669038666501652911403541695232361021e1 0.3263898078211992972181045175837489675876371059259610199631263300545603261877669e1 0.1270985938196715974137683044782370206333852108490111969663917280216785278941014e2 0.1624999999999999999999999999999999999999999999999999999999999999999999840015323e1 65
0.2314104675913623449764308247839098155484874002079700749367764776406871371058393e1 0.4001215295534378162703960523845698480219643774264567843545797029115250928876689e1 0.1207658770573143467002440467160738596113252224243405666489774447110722791233144e2 0.1649999999999999999999999999999999999999999999999999999999999999999999833615936e1 66
0.2789377213627809353035893024766571243450027532123807226216508541775983259675774e1 0.4919552520469327036110866183792867275460837394572263201494422595244094366937899e1 0.1157244884560603853273094984068836665899287533749529132577047630970941794981745e2 0.1674999999999999999999999999999999999999999999999999999999999999999999827216549e1 67
0.3387561462405769991791631187185589516110720675854803960855223798582167678667952e1 0.6061172304505082349337369110135760117968311575984809775427403541334245830198462e1 0.1123546747872495890660340949347992741271233173766812770131064168043390484608789e2 0.1699999999999999999999999999999999999999999999999999999999999999999999820817162e1 68
0.4136020853013192902891383495844537039074524347865964919621406100495566197621617e1 0.7470871290453112775132244786527924315534796470372674583414360356110488055166624e1 0.1112549169195478157593056360626538497308922306645884765997778350541088337564705e2 0.1724999999999999999999999999999999999999999999999999999999999999999999814417775e1 69
0.5065612072510462175580633519361128047848638048387505688463237777074309097262666e1 0.9188541822741151038575118513462896570743921039259927817596872957959054282131043e1 0.1133384296278126032673980529381787577116400622466903556432211743345569227115179e2 0.1749999999999999999999999999999999999999999999999999999999999999999999808018388e1 70
0.6207160558968653556237129444029730078617297602960995720770025834349421319608701e1 0.1123284100675640024505499335290893070070531516443849685452670524100797341377073e2 0.1199426924455633129265166541451465238883760106466823981193336592404995995559717e2 0.1774999999999999999999999999999999999999999999999999999999999999999999801619e1 71
0.7583508512317674303128742786921130874626675943486256074889660783098611246233498e1 0.135699629906947468503536167532421378155910723274639835407275995974388834104725e2 0.1329029695050518553566331752642108491065532506944795183957679650479178494664547e2 0.1799999999999999999999999999999999999999999999999999999999999999999999795219613e1 72
